"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","timeToPredict","Correct"
"433","I guess so. Sure hope its soon enough",6,"guess","so","sure","hope","its","the","much","i",0,FALSE
"434","Up early thiis morning nd now its back to the studio. Got a couple traxxs to listen too nd possibly layiin dwn a track. W.O.R.D.",23,"nd","possibly","layiin","dwn","a","a","dwn","now",0.0299999999997453,TRUE
"435","Another Great Workout This A.M. Just Smashed This Breakfast. Now Headed n to the office for a Productive Work Day",11,"smashed","this","breakfast","now","headed","i'm","week","i",0.0199999999999818,FALSE
"436","#ICantStandPeople who think they know it all or start a conversation but don't keep it going",14,"a","conversation","but","don't","keep","what","feel","believe",0.0199999999999818,FALSE
"437","Why do the last words of tweet line 1s repeat at start of line 2s?",9,"words","of","tweet","line","s","the","your","you",0.0100000000002183,FALSE
"438","RT probably a defense mechanism against dissonance from viewing oneself as civilized while acting savage/barbaric toward others.",9,"mechanism","against","dissonance","from","viewing","my","the","and",0.0199999999999818,FALSE
"439","I am so glad you like it as much as I do!",10,"like","it","as","much","as","as","more","love",0.00999999999976353,TRUE
"440","I love getting drunk on occasions. Are u out or in home?",7,"getting","drunk","on","occasions","are","the","my","a",0,FALSE
"441","talking about moving beyond ""the idea of giving your reputation to a social network and letting them monetize it""",9,"the","idea","of","giving","your","the","your","of",0.0300000000002001,TRUE
"442","Melo is a scorer nobody can stop him at all! He is usually threading scorer not this year though",10,"can","stop","him","at","all","the","a","work",0,FALSE
"443","following u",2,NA,NA,NA,"following","u",NA,NA,NA,NA,FALSE
"444","« I want a large cherry berry chiller .»",6,"i","want","a","large","cherry","of","lot","great",0,FALSE
"445","screw everyone and come to Baylor",6,"everyone","and","come","to","baylor","the","be","see",0.0199999999999818,FALSE
"446","So happy to finally be home. I missed my family so much.",5,"so","happy","to","finally","be","be","the","see",0.0199999999999818,TRUE
"447","you've been fed a complete diet of propaganda your whole life...now how will you vote?...the only way you have learned thru inculcation?...",15,"lifenow","how","will","you","votethe","are","to","can",0.0199999999999818,FALSE
"448","I likee both of them ;o",5,"i","likee","both","of","them","the","you","your",0.00999999999976353,FALSE
"449","TWEET this: #AmpTopTrend with the name of the song or artist you want to hear on . Every hour you choose a new song!",12,"the","song","or","artist","you","of","you","in",0.0199999999999818,TRUE
"450","i can't even begin to tell you the feeling i get..when hearing my beats play..better than any drug. -McM",18,"beats","playbetter","than","any","drug","of","one","than",0.0100000000002183,FALSE
"451","is on Tuesday and watching A Man Apart...one of my favorites!",10,"a","man","apartone","of","my","the","you","your",0.0199999999999818,FALSE
"452","Beyond frustrated... Shit!",3,NA,NA,"beyond","frustrated","shit","shit","the","frustrated",0,TRUE
"453","no way you looked like a boy BUT- I feel you sister! Judy cuts my hair and she's a bad ass. She will make you look great.",13,"i","feel","you","sister","judy","are","to","can",0.0299999999997453,FALSE
"454","hey. why'd you decide to join twitter? hopefully i can be your first reply.",7,"you","decide","to","join","twitter","the","be","see",0.0199999999999818,FALSE
"455","Assert your right to make a few mistakes. If people can’t accept your imperfections, that’s their fault.",12,"mistakes","if","people","cant","accept","you","accept","if",0.0300000000002001,TRUE
"456","I wuvvvv you",2,NA,NA,NA,"i","wuvvvv","know","am","love",0,FALSE
"457","I knew something was going to go wrong",4,NA,"i","knew","something","was","know","am","was",0.00999999999976353,TRUE
"458","I will happily provide cookies in exchange for answers. Very sad to hear about #Awake you are an exceptional writer.",11,"exchange","for","answers","very","sad","the","a","amazing",0.0199999999999818,FALSE
"459","hahah! It's a heart!",3,NA,NA,"hahah","it's","a","a","like","my",0.0100000000002183,TRUE
"460","Hahaha! I'm sure he'd indulge you :). For some reason I'd love to also hear Tim Burton's opinion about Inception... :P",12,"for","some","reason","i'd","love","the","like","to",0.0199999999999818,FALSE
"461","She said put a candle on my back baby blow it. I'll blow dat back out aaiight",12,"back","baby","blow","it","i'll","was","out","be",0.0199999999999818,FALSE
"462","Romney shouldn't feel too bad about getting whipped today. He did end up winning American Samoa, so he's got that going for him.",13,"today","he","did","end","up","you","of","up",0.0100000000002183,TRUE
"463","These are the days of miracles and wonders. Believe and it shall be",8,"days","of","miracles","and","wonders","the","i","a",0.0199999999999818,FALSE
"464","Forgiveness comes by growth. Your growth.",3,NA,NA,"forgiveness","comes","by","back","for","on",0.00999999999976353,FALSE
"465","I used to give a damn, but I'll never give a fuck",10,"damn","but","i'll","never","give","know","land","be",0,FALSE
"466","10 Tablas Creek Vermentino. Delightfully true to type. Sweet tart balanced. Crisp, bit spritzy, green apple, pear, citrus 89 pts",4,NA,"","tablas","creek","vermentino","vermentino","creek","delightfully",0.0199999999999818,TRUE
"467","""I'll just have the salad""",3,NA,NA,"i'll","just","have","the","my","like",0.0100000000002183,FALSE
"468","i dnt have fb sry. but if i did i would ill RT",5,"i","dnt","have","fb","sry","a","know","am",0.0199999999999818,FALSE
"469","USDA Completely Deregulates Genetically Engineered Alfalfa-WTF!!!!",4,NA,"usda","completely","deregulates","genetically","genetically","deregulates","completely",0.00999999999976353,TRUE
"470","Live music tonight in for a drink or two. Don't forget free parking!",12,"or","two","don't","forget","free","the","what","feel",0.0199999999999818,FALSE
"471","Vacay can't come soon enough.....ugh",5,"vacay","can't","come","soon","enoughugh","wait","to","it",0.0199999999999818,FALSE
"472","Whats up twitter world?!?!?!?!",4,NA,"whats","up","twitter","world","on","i","the",0.0100000000002183,FALSE
"473","Home from S+J. Gotta get some rest for the 3am Black Friday shopping trip with the man I love . . . Mastercard. I mean, Matt. LOL. *z*",9,"get","some","rest","for","the","the","a","me",0.0199999999999818,TRUE
"474","#EllenRTme day 159 & 160 It's been such a great weekend & I have no iPhone so this is a 2-for-1!",6,"day","","","","it's","to","and","with",0,FALSE
"475","CONGRATS! Plan on directing or being a DP?",6,"plan","on","directing","or","being","the","in","my",0.00999999999976353,FALSE
"476","...and I just drooled coffee all over myself...HAPPY FRIDAY!",8,"drooled","coffee","all","over","myselfhappy","all","the","of",0.0300000000002001,FALSE
"477","how many ppl in it ?",5,"how","many","ppl","in","it","the","my","a",0.0199999999999818,FALSE
"478","The retina is the film of the eye. It converts light rays into electrical signals and sends them to the brain through the optic nerve.",8,"the","film","of","the","eye","of","the","best",0.0199999999999818,FALSE
"479","Sharon Osbourne has morphed into a Cabbage Patch Doll.",6,"osbourne","has","morphed","into","a","the","a","an",0.0100000000002183,TRUE
"480","im really really really obnoxious.",3,NA,NA,"im","really","really","still","that","bad",0,FALSE
"481","Should do a video to that classic shit I'M KILLIN EM",6,"do","a","video","to","that","be","the","see",0.00999999999976353,FALSE
"482","Awwh Love how much you care for us(: it means alot knowing you love us and try to stay in touch with us!!(: we love so much!(:",11,"for","us","it","means","alot","was","the","out",0.0199999999999818,FALSE
"483","Ha! Which article? And shouldn't the missing period FAILED to stop you in your tracks? Or maybe, omg,the New Yorker is pregnant!",9,"shouldn't","the","missing","period","failed","of","best","and",0.0100000000002183,FALSE
"484","no, it's a marker!",2,NA,NA,NA,"no","it's","i","it's","problem",0.0199999999999818,TRUE
"485","It's Mom's day so I probably won't be around much today. Kiss your mommy for me! xoxoxo",13,"around","much","today","kiss","your","at","blood","and",0,FALSE
"486","Awww you thought Brown was going to say something",8,"brown","was","going","to","say","be","the","see",0.0299999999997453,FALSE
"487","I keep taking my temperature on the royal wedding and realizing that I don't care.",12,"royal","wedding","and","realizing","that","i","the","a",0.0199999999999818,FALSE
"488","Jam lead the D-Fenders 29-19 after one period of play",4,NA,"jam","lead","the","dfenders","of","best","and",0.0100000000002183,FALSE
"489","u got a service pack?",2,NA,NA,NA,"u","got","get","ever","i",0,FALSE
"490","hey as long as you get to celebrate.",4,NA,"hey","as","long","as","as","i","much",0.0199999999999818,TRUE
"491","Im sending my love out to everyone with intensity purpose & passion! ((hugs))",13,"intensity","purpose","","passion","hugs","hugs","purpose","passion",0.00999999999976353,TRUE
"492","Killed my first NYC #cockroach last night w/ - sign me up for the worlds strongest man competition!",12,"w","","sign","me","up","to","up","a",0.0199999999999818,TRUE
"493","hey man. Thought about you last week - watched the 'my star' video. Thanks so much again for that!",12,"","watched","the","'my","star'","of","best","and",0.0100000000002183,FALSE
"494","#LazySundayafterafun saturday night. LOVING/LIVING THE MIAMI LIFE in SHALLAH.",5,"lazysundayafterafun","saturday","night","lovingliving","the","the","night","at",0.0199999999999818,TRUE
"495","Storm headed toward La Plata? Uh oh.",4,NA,"storm","headed","toward","la","toward","la","headed",0.0199999999999818,TRUE
"496","Don't worry about it. Won't change in the course of a day",8,"it","won't","change","in","the","the","my","a",0.0100000000002183,TRUE
"497","can I breath?",2,NA,NA,NA,"can","i","i","be","u",0,TRUE
"498","#FF to for a fantastic #OpenAccess #OA meeting of the minds this week.",5,"ff","to","for","a","fantastic","the","of","lot",0.0199999999999818,FALSE
"499","Hello hello! How are ya today? I'm feeling pretty great myself. I had #SUBWAY for breakfast.",11,"i'm","feeling","pretty","great","myself","i","talking","music",0.00999999999976353,FALSE
"500","ActorFest 2010!! Visist us @ the Academy booth to enter to Win a free adimssion to a Casting Director Workshop comlpiments of the Academy!",13,"to","enter","to","win","a","be","the","see",0.0199999999999818,FALSE
"501","Graduate! Yeah! Time or some well needed R & R",5,"graduate","yeah","time","or","some","in","you","the",0.0300000000002001,FALSE
"502","the mc rib, all 4 all time favorite whataburger sandwiches? is this real life?",11,"time","favorite","whataburger","sandwiches","is","is","of","to",0.00999999999976353,TRUE
"503","Yeah :D",2,NA,NA,NA,"yeah","d","i","and","how",0,FALSE
"504","YES girl -_____- pathetic",2,NA,NA,NA,"yes","girl","you","that","we're",0,FALSE
"505","Dear out of state super PAC supporting #WalkerFailure: WI is dead last in jobs. That's not considered progress 'round these parts.",5,"dear","out","of","state","super","the","you","your",0.0199999999999818,FALSE
"506","That Dr J. And Larry Bird fight is a funny ass fight!! Lol",6,"dr","j","and","larry","bird","i","the","a",0.0100000000002183,FALSE
"507","cutting Clifton today frees up a big chunk of change to the tune of $5.7 mil. That should make a difference",8,"frees","up","a","big","chunk","of","lot","great",0.0199999999999818,FALSE
"508","Midway through an extraordinary performance by In Mulieribus at St Stephens -- like listening to angels sing.",2,NA,NA,NA,"midway","through","through","an",NA,0.00999999999976353,TRUE
"509","And what will you do with your extra day? As an entrepreneur I'm guessing you're still working today?",9,"do","with","your","extra","day","to","day","you",0.0199999999999818,TRUE
"510","Follow the crew members",2,NA,NA,NA,"follow","the","me","you","one",0,FALSE
"511","what a promising name",3,NA,NA,"what","a","promising","of","lot","great",0.0100000000002183,FALSE
"512","okay good. lol have fun! xx",4,NA,"okay","good","lol","have","to","i","but",0.0199999999999818,FALSE
"513","i just wet my pants again. oh my",6,"just","wet","my","pants","again","day","my","is",0.0199999999999818,FALSE
"514","Holy fucking traffic.",2,NA,NA,NA,"holy","fucking","shit","fucking","ya",0,TRUE
"515","So I guess Wiltjer is staying",3,NA,NA,"so","i","guess","know","am","love",0.0100000000002183,FALSE
"516","HAHAHA guy fieri is driving the pace car. seriously. wow.",8,"is","driving","the","pace","car","of","best","and",0.0199999999999818,FALSE
"517","Its raining I want hot chocolate :)",4,NA,"its","raining","i","want","know","am","love",0.00999999999976353,FALSE
"518","Back in the NINES office, catching up on everything...",2,NA,NA,NA,"back","in","to","in","the",0,TRUE
"519","under age drinking is just as ""bad"" as smoking weed; still definitely illegal.",10,"as","bad","as","smoking","weed","as","i","much",0.0300000000002001,FALSE
"520","Internet Cultural Network: PBS: Jazz - Risk directed by Ken Burns",11,"risk","directed","by","ken","burns","burns","not","today",0.0199999999999818,TRUE
"521","yeah maybe I got so mad and then the thing I said about Astonia (spelt that wrong)",2,NA,NA,NA,"yeah","maybe","i","and","how",0,FALSE
"522","sounds like a mad and crazy scientist to me. Hope the nurse is okay.",6,"like","a","mad","and","crazy","i","a","the",0.00999999999976353,FALSE
"523","We need YOU to become a part of something big- a rally for Clean Water. Wed, March 28th, 9–11am RSVP: .",15,"a","rally","for","clean","water","the","a","me",0.0199999999999818,FALSE
"524","Lost last night was ok. Highlight was def. Sawyer putting Jack in his place. Love him! Anyways, just 24 hrs til I'm in Houston! Beer Bike!!!",18,"place","love","him","anyways","just","to","and","just",0.0199999999999818,TRUE
"525","please don't ever shut up. You are full of WIT.",8,"shut","up","you","are","full","you","the","are",0.0300000000002001,FALSE
"526","It's good to be in New York when the Knicks finally have a good team.",13,"the","knicks","finally","have","a","a","of","to",0.00999999999976353,TRUE
"527","So, how is the ride going so far?",3,NA,NA,"so","how","is","much","you","are",0,FALSE
"528","not as much as I need YOU in my life! Love u munchkin :]",7,"much","as","i","need","you","know","am","to",0.0199999999999818,FALSE
"529","why would you have to beat me up? & what did do?",2,NA,NA,NA,"why","would","you","are","the",0.0100000000002183,FALSE
"530","No One Saves Us But Ourselves. No One Can & No One May. We Ourselves Must Walk The Path.",17,"may","we","ourselves","must","walk","be","need","have",0.0199999999999818,FALSE
"531","yeah.. So far i know 's staff , MLM, maybe and co are coming.",11,"staff","","mlm","maybe","and","i","cuz","dev",0,FALSE
"532","Cool--good luck!",2,NA,NA,NA,"coolgood","luck","luck",NA,NA,0.0199999999999818,TRUE
"533","Life is GREAT!",2,NA,NA,NA,"life","is","is","in","for",0,TRUE
"534","A5: There's room in every trip for a bit of adventure.",5,"a","there's","room","in","every","the","my","a",0.0300000000002001,FALSE
"535","this one is in the books. GO BUCKS! BEAT CUSE!",3,NA,NA,"this","one","is","of","is","week",0,TRUE
"536","RT : RT : #musesocial What does it mean to curate a SM experience? is it possible? any benefits?",16,"a","sm","experience","is","it","a","the","your",0.00999999999976353,FALSE
"537","How can Liberals/Progressives/DemoRates tell Lies so easy, no problem, they don't believe in God",8,"tell","lies","so","easy","no","much","i","to",0.0199999999999818,FALSE
"538","#medlibs Please know the online planner sends emails to the email you used to register for",14,"the","email","you","used","to","to","are","can",0.0300000000002001,TRUE
"539","How was that not too many men?!",7,"that","not","too","many","men","that","amazing","things",0.00999999999976353,FALSE
"540","I'm not speechless often, but I have no words right now. :P",11,"have","no","words","right","now","now","to","a",0.0199999999999818,TRUE
"541","Awww Verizon is making me sick.",5,"awww","verizon","is","making","me","a","the","your",0.0199999999999818,FALSE
"542","I know right? We have used his phrase against him. XD",2,NA,NA,NA,"i","know","know","am","love",0,TRUE
"543","If you live in Anderson, IN check out this week, for your chance to win tickets to on February 16th.",19,"win","tickets","to","on","february","the","be","my",0.0100000000002183,FALSE
"544","Sing a song of living before everybody dies.",8,"of","living","before","everybody","dies","the","you","in",0.0199999999999818,FALSE
"545","Go to Mad Planet tonight. You'll thank me if you do!",2,NA,NA,NA,"go","to","to","for","see",0.00999999999976353,TRUE
"546","Congratulations Cheryl - great leadership insight ""I have to know you to grow you"". Thank you!",7,"","great","leadership","insight","i","i","talking","music",0.0199999999999818,TRUE
"547","#FreeDan RT : that's wild blocked me. wow.",5,"freedan","rt","","that's","wild","the","great","what",0,FALSE
"548","My goodness! You're always busy. You don't believe in failing so I know you'll be fine.",8,"always","busy","you","don't","believe","are","to","can",0.0100000000002183,FALSE
"549","follow me on tumblr bro",3,NA,NA,"follow","me","on","to","up","a",0.0199999999999818,FALSE
"550","Stoked2 present my program ""Spanish in the inner city"" to LUL inorder2teach Spanish 2black adults after-work.Introducing AfroLatinos to KY!",6,"present","my","program","spanish","in","in","black","my",0.0199999999999818,TRUE
"551","Thanks to Dr. Billingsley, Dr. Willihnganz, & Dr. Rhodes. A special thank you to our conference planning team!",8,"billingsley","dr","willihnganz","","dr","dr","willihnganz","spanish",0.0100000000002183,TRUE
"552","ugh okay?",2,NA,NA,NA,"ugh","okay",NA,NA,NA,NA,FALSE
"553","RT : I'm happy to announce #BWENY will be held from June 5th through 7th, which falls during Internet week.",14,"held","from","june","th","through","through","stay","which",0.0299999999997453,TRUE
"554","Just realized my childhood friend/neighbor is dating",3,NA,NA,"just","realized","my","my","the","like",0,TRUE
"555","Varsity game, avoiding him. :/",3,NA,NA,"varsity","game","avoiding","the","and","will",0.0199999999999818,FALSE
"556","Early news on Mariano's injury sounds REALLY bad... He'll go for an MRI but it's sounding like his season, and most likely career, is over..",4,NA,"early","news","on","mariano's","the","my","a",0.0100000000002183,FALSE
"557","Where to begin! I've been lucky, privileged really, to be schooled by so many wonderful teachers.",11,"privileged","really","to","be","schooled","the","be","see",0,FALSE
"558","You are very welcome!! Thank you as well!",2,NA,NA,NA,"you","are","are","to","can",0.0199999999999818,TRUE
"559","Don't miss & Friday night at ChickieWhaWha on Canal Street from 8-10p. Song from their CD ""Bridging the Gap""!",4,NA,"don't","miss","","friday","what","feel","believe",0.00999999999976353,FALSE
"560","Finding Nemo is one of the best movies ever created.",6,"nemo","is","one","of","the","the","your","you",0.0199999999999818,TRUE
"561","Coffee is brewed, eggs are flipping, fruit's fresh, bacon is sizzling. Happy Friday!",9,"are","flipping","fruit's","fresh","bacon","bacon","fresh","you",0.0199999999999818,TRUE
"562","New York City was shweeeet",5,"new","york","city","was","shweeeet","to","a","going",0.0100000000002183,FALSE
"563","2 for Tuesday tonight @ Opal Bar!!! Pretty simple- Buy ANY drink, get 2 instead. Extra bonus- NY Knicks on all of the flatscreens",18,"","instead","extra","bonus","ny","ny","can","extra",0,TRUE
"564","great quote: ""we have this challenge of intent where the outcome in user experience terms is not matching the tools""",17,"user","experience","terms","is","not","a","the","your",0.0299999999997453,FALSE
"565","I never thought sleeping in would mean waking up at 9:30",10,"would","mean","waking","up","at","on","the","a",0.0300000000002001,FALSE
"566",""": If you love and respect her, don't cheat on her. Real simple.""",7,"you","love","and","respect","her","i","the","a",0.0199999999999818,FALSE
"567","you program drums to homie???",5,"you","program","drums","to","homie","be","the","see",0.0100000000002183,FALSE
"568","Love is like the wind, you can not see it, but you can feel .. :)",13,"see","it","but","you","can","are","to","can",0.0199999999999818,TRUE
"569","Congrats and best of luck on your new restaurant!",5,"congrats","and","best","of","luck","the","you","your",0.00999999999976353,FALSE
"570","I was gonna watch The River tonight. It's perty skerrryy. Wanna join me?",2,NA,NA,NA,"i","was","know","am","love",0.0199999999999818,FALSE
"571","Some girls don't realize what they're worth. Some guys don't realize what they have. Then she leaves after realizing. Then he realizes.",2,NA,NA,NA,"some","girls","more","new","don't",0,FALSE
"572","Hey Boston-busy tonight? If not, come check out the lineup@ TT's (central sq) featuring my clients What Time is it Mr. Fox?!",18,"featuring","my","clients","what","time","you","do","i",0.0100000000002183,FALSE
"573","Nice! do any of them have wifi? I know it's kinda un-zen, but would allow me to stay longer n work..",16,"unzen","but","would","allow","me","be","like","me",0.0199999999999818,TRUE
"574","am I wrong, or in the middle of a financial crisis, our new Pres, who campaigned on change is spending more $$ then any of his predecessors",18,"pres","who","campaigned","on","change","the","my","a",0,FALSE
"575",". You are definitely on a humor roll today. Thanks for the laughs. I adore a good pun and #sickjoke is brilliant!",9,"on","a","humor","roll","today","the","of","lot",0.0299999999997453,FALSE
"576","Time flies when immersed in building a database. Wheeeee !!!",2,NA,NA,NA,"time","flies","to","of","out",0,FALSE
"577","speech-language pathologist by education limited PR/marketing knowledge. Any must read book recommendations?",12,"any","must","read","book","recommendations","of","my","i",0.0199999999999818,FALSE
"578","knew that oddly",3,NA,NA,"knew","that","oddly","i","was","is",0.0100000000002183,FALSE
"579","RT : Life without music: flat ·",4,NA,"rt","","life","without","is","in","for",0.0199999999999818,FALSE
"580","Wewant to extend our network of individuals who would want to cooperate in building independent music! Is that you?",9,"network","of","individuals","who","would","the","is","has",0.00999999999976353,FALSE
"581","At the #EmbassyofBrazil Party time!",5,"at","the","embassyofbrazil","party","time","of","best","and",0.0199999999999818,FALSE
"582","yeah my stupid ass phone cant record/play vids -___- FML!",8,"ass","phone","cant","recordplay","vids","she","fight","lips",0.0100000000002183,FALSE
"583","Yes! So! WTF? I thought I was the only one.",8,"i","thought","i","was","the","know","am","love",0.0199999999999818,FALSE
"584","hey i was only referencing the fact that I completely humiliated you..and im the baby of the group",16,"youand","im","the","baby","of","of","best","and",0.0300000000002001,TRUE
"585","Back in LA after long drive from Vancouver...Check out the Dancing Ninja on IMDB, WE HAD FUN SHOOTING IT",8,"after","long","drive","from","vancouvercheck","my","the","and",0.0199999999999818,FALSE
"586","not yet, im coming back tomorrow night :)) my brother is coming home in an hour so i'm baking him a cake :))",13,"my","brother","is","coming","home","a","the","your",0.00999999999976353,FALSE
"587","Marketing a product similar to others? Research their successful strategies but don’t copy! Once you know what works test new strategies.",14,"strategies","but","dont","copy","once","i","care","the",0.0199999999999818,FALSE
"588","I'm BEGGING you all to read my status and re-post it. We are running out of time! Especially if you're in California, please help!!!!",19,"out","of","time","especially","if","the","you","of",0,FALSE
"589","The officiating in this NCAA tournament has been TERRIBLE...so many calls that are blatantly wrong",13,"terribleso","many","calls","that","are","i","is","was",0.0100000000002183,FALSE
"590","Nice!! RT : starting at your fav place and I know he wants a bloody or 4 but the night",13,"and","i","know","he","wants","know","am","love",0.0199999999999818,FALSE
"591","some of the sickest visions at my disposal... spell it out... I FUCK'N TOLD U...",14,"it","out","i","fuck'n","told","know","am","love",0.00999999999976353,FALSE
"592","I hate missing school",3,NA,NA,"i","hate","missing","know","am","love",0.0199999999999818,FALSE
"593","hey i love you ! you should cme to nyccc <3",5,"hey","i","love","you","","are","to","can",0.0199999999999818,FALSE
"594","xs tonight for avicii lets go NHL in town haha well the non playoff teams",12,"in","town","haha","well","the","the","do","i",0.0100000000002183,TRUE
"595","RT: ladies, showin a great amount of skin when u dress up isnt the way to find Prince Charming.He likes his gifts wrapped",8,"a","great","amount","of","skin","the","you","your",0.0199999999999818,FALSE
"596","Imo: toxins in the body inhibit the ability to feel and express love. I sense so much more love, in me and in my environment, after a detox",14,"feel","and","express","love","i","you","and","it",0.0199999999999818,FALSE
"597","i am eating an egg sandwich while looking at the menu of the restaurant i'll be eating at tonight",5,"i","am","eating","an","egg","know","am","love",0.0100000000002183,FALSE
"598","soo.. another day canceled. I quit trying to make plans. :|",8,"canceled","i","quit","trying","to","to","know","am",0.0399999999999636,TRUE
"599","Preparing another large mural for remounting today. Pictures to follow soon.",10,"remounting","today","pictures","to","follow","be","the","see",0,FALSE
"600","Harvey's intro is total doom & gloom so far. I suspect he will acknowledge some? positive expressions of urban social movements",9,"doom","","gloom","so","far","much","i","to",0.0100000000002183,FALSE
"601","I bet if you were here in Miami / Lauderdale u would like a bad chick would. In my Rkelly tone ....lmfao send me something nice.",19,"bad","chick","would","in","my","the","my","a",0.0199999999999818,TRUE
"602","Are you aware of any news organizations that will be livestreaming the Celebration of Life for Jr. Seau on May 11?",8,"of","any","news","organizations","that","the","that","you",0.00999999999976353,TRUE
"603","true, true. I need good treatment then! The hell",3,NA,NA,"true","true","i","i","to","love",0.0199999999999818,TRUE
"604","So much for trying to sleep early.",7,"for","trying","to","sleep","early","the","be","see",0.0100000000002183,FALSE
"605","When asked me if my sister was buff like me, I was like Lmao!!! no we just look alike I guess lol",2,NA,NA,NA,"when","asked","the","i","you",0.0199999999999818,FALSE
"606","Talking to him>>>>",2,NA,NA,NA,"talking","to","to","about","and",0,TRUE
"607","St Luke's church at 100 W 86th street taking donations for #INtornado victims today at 9 am",12,"street","taking","donations","for","intornado","the","a","me",0.00999999999976353,FALSE
"608","Organizing is much more than cleaning. One is putting things where they belong, the other is knowing why they belong there.",15,"where","they","belong","the","other","of","best","and",0.0199999999999818,FALSE
"609","Yes , so glad I made it!",3,NA,NA,"yes","","so","you","that","we're",0,FALSE
"610","thanks for forgetting me",4,NA,"thanks","for","forgetting","me","the","a","for",0.0199999999999818,FALSE
"611","I love all your CB tweets. It's like reading myself tweet. We agree on so much! Seriously can't wait for S6.",21,"seriously","can't","wait","for","s","the","a","me",0.0100000000002183,FALSE
"612","lol was dying reading that. You know me brotha, ain't a thang to worry about. Born ready #problemchildontheloose /Cc",14,"ain't","a","thang","to","worry","be","the","see",0.0199999999999818,FALSE
"613","Mr.Gay! We could be so happy together!",7,"could","be","so","happy","together","to","much","i",0.00999999999976353,FALSE
"614","i missed first 25 minutes of show. i wonder if news will infiorm #Vegas about similar difficulties tomorrow?",14,"if","news","will","infiorm","vegas","be","you","the",0.0199999999999818,FALSE
"615","Anyone else going to tonight at #viejasarena? See you there!",9,"tonight","at","viejasarena","see","you","you","the","it",0.0300000000002001,TRUE
"616","Tina Moore and the Just Us Trio tonight at 9:30. All ages, no cover - nothing but great music!",8,"the","just","us","trio","tonight","of","and","all",0.0199999999999818,FALSE
"617","Tweefer beef going on PLUR is what we live by Peace Love Unity and Respect.",12,"we","live","by","peace","love","in","of","love",0.0100000000002183,TRUE
"618","I love my neighborhood.",2,NA,NA,NA,"i","love","know","am","love",0.0199999999999818,TRUE
"619","you know what helps? giving me your EFFing account number. bc I can't find your library card # based on the email address you never gave us.",25,"the","email","address","you","never","are","to","can",0.00999999999976353,FALSE
"620","U ever get tired of hearing the radio... then start listening to the cds u have, & realize.. u got your cd on repeat just like the radio?",7,"get","tired","of","hearing","the","the","you","your",0.0199999999999818,TRUE
"621","this weather is horrible",2,NA,NA,NA,"this","weather","week","is","year",0.0100000000002183,FALSE
"622","#WordsYouWillNeverHearMeSay Obama rocks!",2,NA,NA,NA,"wordsyouwillneverhearmesay","obama","obama","rocks",NA,0,TRUE
"623","when and where is your next show?",2,NA,NA,NA,"when","and","the","i","you",0.0199999999999818,FALSE
"624","yes, that is a reference to section 5K1.1 of the federal sentencing guildelines, allows downward departure from typcl jail term",12,"k","of","the","federal","sentencing","of","the","best",0.00999999999976353,FALSE
"625","ha! That's hilarious.",2,NA,NA,NA,"ha","that's","that's","hilarious",NA,0,TRUE
"626","come back here! I wanna babysit baby Mariam!",3,NA,NA,"come","back","here","to","in","the",0.0199999999999818,FALSE
"627","Idc I can't sleep so someone bout to be up wit me dammit *pouts*",4,NA,"idc","i","can't","sleep","know","am","love",0.0199999999999818,FALSE
"628","Not since the Atari 2600 made it's way into my house in...awhile ago, have I wasted so much time. Angry Birds is the crack of the app world",6,"since","the","atari","","made","of","best","and",0,FALSE
"629","im willing to pay:)",2,NA,NA,NA,"im","willing","still","the","a",0.0100000000002183,FALSE
"630","I could use a couple of cups of coffee.",2,NA,NA,NA,"i","could","know","am","love",0,FALSE
"631","Holland. First stop coffeeshop.",4,NA,"holland","first","stop","coffeeshop","stop","him","talking",0.0199999999999818,FALSE
"632","Ima Go Sleep (:",3,NA,NA,"ima","go","sleep","to","for","see",0.00999999999976353,FALSE
"633","any sub category suggestions? #sex being the topic?",4,NA,"any","sub","category","suggestions","suggestions","of","one",0.0199999999999818,TRUE
"634","I've been voting all week<3 And guess who is in front of Joe Jonas?! You are<33 Well deserved.",9,"week","and","guess","who","is","the","i","is",0.0100000000002183,TRUE
"635","So Tweetcaster seems to be working for me. At least it isn't crashing...",2,NA,NA,NA,"so","tweetcaster","much","i","to",0.0199999999999818,FALSE
"636","Seriously though, Lightning Bolt was a Philip Glass tribute band, right?",5,"seriously","though","lightning","bolt","was","want","i'll","wow",0.0199999999999818,FALSE
"637","#nms30 something fun for every little American History learner! www.historyglobe.com/jamestown/",4,NA,"nms","something","fun","for","was","to","xx",0.0100000000002183,FALSE
"638","Nice to be tweeting with you, tell us more about Castleton Christian!",3,NA,NA,"nice","to","be","be","the","see",0.0199999999999818,TRUE
"639","oh yeah we don't want that :/ lol",8,"don't","want","that","","lol","i","is","was",0.00999999999976353,FALSE
"640","Lol! I knew something was up!",2,NA,NA,NA,"lol","i","i","but","have",0,TRUE
"641","RT :David Ferriero wants all of the enormous National Archives digitally available. If it's not digital it doesn't exist.",15,"digitally","available","if","it's","not","a","like","you",0.0199999999999818,FALSE
"642","thanks for following. What caught ur interest in my profile? Your music site sounds promising.",2,NA,NA,NA,"thanks","for","for","the","to",0,TRUE
