"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"150","Over the past year or so, I've been in a lot of boutiques that are a little new to me. A big reason for that has been location--Minneapolis, Las Vegas, Dallas, and Paris offer some great stores. But I knew what I wanted to look at long before I walked in. In Burberry, I wanted to find THE trench, and I did. How? I walked in, I started looking around, I got approached, and I accepted the offer of help. I told the sales assistant that I was only looking (I said this first off), but I felt it time to think about investing in a trench (given I've been considering this for ten years, my sense of time clearly is fluid). The ensuing discussion and try-ons were about fitting me. That's it. I took the information on the sales assistant's card. When I decide to purchase it, he's who I call. It was all professionally handled--my end, his end. In other words, it wasn't about the cupid's singing--it was about finding information.","over the past year or so ive",8,"been","been","5","ive","51D","in","4","been","41A","been","41B","so","52J","been","41C","in","3","been","31A","ive","42C",0.209999999991851,TRUE
"151","When all the milk is added","when all the",4,"milk","is","4","milk","4","milk","31B","on","31B","tried","31A","milk","31A","sleeps","31B","the","31B","europeans","31A","united","31A",0.0599999999976717,TRUE
"152","I did actually sew the faux stitching on my sewing machine, but the thread ran out, so I just left the wholes and markered the stitching... I love these papers, but were a little too soft so added a good rub of ink... including to the ribbon and button...","i did actually sew the faux stitching on my sewing machine but the thread ran out so i just left the wholes and markered the stitching i love these papers but were a",34,"little","little","4","a","41C","a","32B","lunch","3","too","3","going","31B","little","31B","a","32C","way","31A","little","31A",0.190000000002328,TRUE
"153","If you don’t want to spend money on a dresser but you have a complicated dress/bustle make sure that you have a bridesmaid or two with you at your final fitting to learn how to get you in your dress. Do not have your mother be the one to have to get on the floor—in her dress—to get you in or to bustle your dress before the reception.","if you don’t want to spend money on a dresser but you have a complicated dressbustle make sure that you have a bridesmaid or two with you at your final fitting to learn how to get you in your dress do not have your mother be the one to have to get",53,"on","on","5","get","51D","the","4","on","41A","on","41B","to","52J","on","41C","on","31A","get","42C","get","42E",0.260000000009313,TRUE
"154","I collect everything African from artifacts and books to my gatherings from the countryside around me. Here are just a few of the books in my collection.","i collect",3,"everything","everything","3","everything","2","much","21","wait","21","something","21","now","21","never","21","worried","21","do","21","like","21",0.0499999999883585,TRUE
"155","Jim discloses that he was looking at a wall comprised of hundreds upon hundreds of infant bodies, all wrapped in Buddhist ceremonial fabrics, stacked one upon another. Again, Garrow provides no clues with which to test the veracity of this statement, and its purpose seems designed to re-enforce the Western view that the Chinese kill their unwanted daughter's wholesale, against all verifiable evidence to the contrary. (For a short overview of different ""Blood Libel"" accusations in history, read ""Fetus Food: Another Urban Legend Busted"", eSkeptic, March 21, 2012).","jim discloses that he was looking at a wall comprised of hundreds upon hundreds of infant bodies all wrapped in buddhist ceremonial fabrics stacked one upon another again garrow provides no clues with which to test the veracity of this statement and its purpose",45,"seems","seems","3","its","32C","his","2","seems","2","true","2","just","31B","here","31B","finally","31B","purpose","31B","breach","31B",0.110000000000582,TRUE
"156","The patent-in suit, simply put, is a computerized method for securing debt with future credit card receivables. While the patent inventor, Barbara Johnson, implemented an aggressive marketing and business development program that brought this financing method to widespread use, she did not invent a new business method. Rather, Johnson built on long-established prior art, packaged the idea in a","the patentin suit simply put is a computerized method for securing debt with future credit card receivables while the patent inventor barbara johnson implemented an aggressive marketing and business development program that brought this financing method to widespread use she did not invent a new business method rather johnson",50,"built","built","3","on","2","built","2","implemented","2","leg","21","built","21","that","21","in","21","believe","21","think","21",0.120000000009895,TRUE
"157","and an outstanding writer on music.","and an outstanding writer",5,"on","music","2","lamenting","2","writer","21","load","32C","ass","32C","outstanding","32C",NA,NA,NA,NA,NA,NA,NA,NA,0.0499999999883585,FALSE
"158","Now without you","now",2,"without","know","2","seems","2","else","2","away","2","feel","2","start","2","dark","2","none","2","addicts","2","comes","2",0.0299999999988358,FALSE
"159","The Osaka Minami 2011 International Beer Festa will be held over three days.","the osaka minami international festa will be held",9,"over","over","4","held","41C","three","3","over","31A","held","32B","over","3","three","2","a","2","held","32C","local","2",0.170000000012806,TRUE
"160","In other news, yesterday, our friend Amy decided, for her birthday, to conduct a full, costumed, drunken enactment of ""Annie,"" held at a local theater (off hours). I'd say there were about 50 people there plus a bunch of kids. Many were costumed (myself included,) many were drunk on gin and tonics at 10 in the morning (ditto). Sadly, my camera decided to die yesterday morning, so there are no extant photographs of me in my Miss Hannigan outfit. Damn. There was a wig involved, and a red bra, and Mardi Gras beads, and a flask. (Oh, and fair warning to all of you - should you ever find yourself in a situation in which you are expected to perform a largely impromptu 30's period piece musical with many of your friends, DO NOT listen to your significant other if he or she suggests that it would be a good idea to put REAL gin in your prop flask, as that would be ""method acting."" This, as it turns out, is a BAD IDEA.)","in other news yesterday our friend amy decided for her birthday to conduct a full costumed drunken enactment of annie held at a local theater off hours id say there were about people there plus a bunch of kids many were costumed myself included many were on gin and tonics at in the morning ditto sadly my camera decided to die yesterday morning so there are no extant photographs of me in my miss hannigan outfit there was a wig involved and a red and mardi gras",88,"beads","beads","4","and","3","beads","31A","mardi","42F","beads","31B","and","2","mardi","32C","beads","3","beads","2","beads","21",0.159999999988941,TRUE
"161","So, yesterday was my one year blogging anniversary! I'm ashamed to admit that I didn't even notice until late last night, by which time it was too late to get out the candles or whip up a cake. Instead, we'll have to celebrate a day late - and with a warm, tender loaf of quick bread in place of white cake and buttercream.","so yesterday was my one year blogging anniversary im ashamed to admit that i didnt",16,"even","didnt","41C","know","4","i","42F","even","4","didnt","32B","know","31A","didnt","32C","notice","3","yet","3","the","3",0.169999999998254,TRUE
"162","Returning to Singapore, we both were taken on as legal assistants in Laycock & Ong, a thriving law firm in Malacca Street. Then we married officially a second time that September 1950 to please our parents and friends. She practised conveyancing and draftsmanship, I did litigation.","returning to singapore",4,"we","both","3","a","31B","we","3","a","2","both","2","it","31B","great","2","taken","2","sure","21","seen","21",0.0500000000029104,TRUE
"163","His gentle tug on swollen lips confirms that fact","his gentle tug on swollen lips",7,"confirms","lips","41C","lips","31B","that","2","lips","21","lips","32B","confirms","2","lips","32C","swollen","32C",NA,NA,NA,NA,0.160000000003492,TRUE
"164","Reflecting back on my best bosses over the years I realized they all had a common trait. As one said, his job was to be an umbrella for his team. I loved the image then and kept it in mind as I moved into supervision. So how is a boss an umbrella for those below him?","reflecting",2,"back","on","2","back","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00999999999476131,TRUE
"165","A Very Merry Daughter of the Bride (Not for Children) ... LMN ... 8 PM","a very merry",4,"daughter","daughter","3","of","2","daughter","2","chink","2","day","31B","time","31B","job","31B","party","31B","person","31B","wealthy","31B",0.0600000000122236,TRUE
"166","Sure and steady on your feet.","sure and steady on your",6,"feet","feet","4","your","41C","feet","31A","on","42F","feet","31B","and","3","it","3","can","32A","your","32C","your","31B",0.159999999988941,TRUE
"167","The FpU have decided to file charges after being attacked in the May 1 parade","the fpu have decided",5,"to","to","4","decided","41C","to","31A","file","3","to","3","to","31B","decided","32C","decided","31B","decided","32B","st","32B",0.110000000000582,TRUE
"168","These are just a few suggestions. Where will you be heading for your spring travel this year?","these are just a",5,"few","few","5","few","41A","few","41B","few","41C","part","4","of","4","a","32B","few","4","few","31B","a","41C",0.169999999998254,TRUE
"169","in stilettos and","in stilettos",3,"and","and","3","words","21","will","21","month","21","process","21","happy","21","end","21","house","21","situation","21","few","21",0.0299999999988358,TRUE
"170","And the fear betrayed her.","and",2,"the","day","2","know","2","think","2","course","2","hope","2","am","2","very","2","sure","2","like","2","time","2",0.0200000000040745,FALSE
"171","all may hear th’effectual call,","all may",3,"hear","hear","3","come","2","always","2","still","2","bikini","2","features","2","prosperity","2","literally","2","the","2","a","2",0.0299999999988358,TRUE
"172","I know I posted this picture a while back, but I didn’t write what I was thinking or I tried to post with my iPhone and the text didn’t show up. Anyway, here’s what I was thinking when I snapped the photo.","i know i posted this picture a while back but i didn’t write what i was thinking or i tried to post with my iphone and the text didn’t",30,"show","text","42F","ring","21","all","21","good","21","well","32C","look","32C","today","32C","next","32C","film","32C","first","32C",0.110000000000582,FALSE
"173","7. Some people will argue that Columbus Day is a day for recognition of Italians, an Italian Pride Day. Are Italians more worthy of recognitionthan other ethnic groups in this country we have proudly (?) nicknamed""The Melting Pot""? I have heard Italians say that Germans have Oktoberfest, the Irish have St. Patrick's Day and Mexicans have Cinco deMayo, but none of those are FEDERAL holidays. The only two ethnic groups worthy of recognition for their contributions and sacrifice in this land are those who were ALREADY HERE when the Europeans came and those who the Europeans BROUGHT HERE IN CHAINS. All other ethnic groups came here voluntarily. It was long overdue but African Americans finally got their holiday - Dr. Martin Luther King, Jr. Day in January.... but Native Americans still don't have a holiday (urge your congressmen and women to support House Bill #167).","some people will argue that columbus day is a day for recognition of italians an italian pride day are italians more worthy of recognitionthan other ethnic groups in this country we have proudly nicknamedthe melting i have heard italians say that germans have oktoberfest the irish have st patricks day and mexicans have cinco demayo but none of those are federal holidays the only two ethnic groups worthy of recognition for their contributions and sacrifice in this land are those who were already here when the europeans came and those who the europeans brought here in chains all other ethnic groups came here voluntarily it was long overdue but african americans finally got their holiday dr martin luther king jr day in january but native",126,"americans","americans","3","americans","2","native","31B","but","42F","but","32C","think","32B","she","32B","i","32B","was","21","of","21",0.139999999999418,TRUE
"174","Then I get another text ""it's all good, I got it""","then i",3,"get","going","3","another","3","fg","3","my","3","was","3","will","3","get","3","opened","3","was","21","will","21",0.0299999999988358,TRUE
"175","And my boys are constantly encouraged to snag their workbooks or drawing pads and let loose... which IHeart!","and my",3,"boys","second","3","doctor","3","arms","3","hair","3","photo","3","are","3","new","3","boys","3","done","2","so","2",0.0500000000029104,TRUE
"176","Meanwhile in the East. The Indonesian Teen model Manohara, whom married to the Malaysians Princes Tengku Muhammad Fakhry Petra (at the age of 14, -now 18’teen), is inspiring new depths between those old national wounds of Indonesia and Malaysia.","meanwhile in the east the indonesian teen model manohara whom married to the malaysians princes tengku muhammad fakhry petra at",21,"the","the","4","age","3","the","31A","the","31B","the","3","the","21","at","31B","age","21","age","2","end","2",0.150000000008731,TRUE
"177","Today, it’s Summer.","today",2,"it’s","like","2","tried","2","cafe","2","cant","2","werent","2","divine","2","explains","2","of","2","the","2","be","2",0.0199999999895226,FALSE
"178","My parents have had the same phone number since I was two years old, which means it's been the same number for a very long time.","my parents have had the same phone number since i was two years old which means its been the same number",22,"for","number","41C","of","4","for","4","same","42F","holes","3","a","3","of","31A","for","31A","number","32B","of","3",0.169999999998254,TRUE
"179","Audi’s Q3 is an interesting proposition. It’s aimed squarely at the BMW X1 and offers decent performance from a range of small petrol and diesel engines. Combining sporty premium SUV features in a compact body, the Q3 range starts at R370,000. It looks a little ordinary but its strength will be in ride, road holding and luxury interior. In a move that is most unlike Audi, there are some really funky colours available for the Q3. Google “Samoa Orange” if you don’t believe me.","audi’s q is an interesting proposition it’s aimed squarely at the bmw x and offers decent performance from a range of small petrol and diesel engines combining sporty premium suv features in a compact body the q range starts at r it looks a little ordinary but its strength will be in ride road holding and luxury interior in a move that is most unlike audi there",68,"are","some","3","there","31B","audi","42F","audi","32C","are","3","are","21","really","21","i","2","day","2","much","2",0.130000000004657,TRUE
"180","Handwriting: Part of the writing process is the ability to put words on paper. I know. Seems kinda obvious, right? But I've known a lot of parents (*points to self*) who expect their kids to journal and create and express their loving hearts out on paper before this skill has taken root. For some kids, the fine motor control just isn't there until age eight or so. Until then, don't feel like you're ""cheating"" if your child is verbalizing answers and sentences while you write them down.","handwriting part of the writing process is the ability to put words on paper i know seems kinda obvious right but ive known a lot of parents points to self who expect their kids to journal and create and express their loving hearts out on paper before this skill has taken root for some kids the fine motor",59,"control","control","3","motor","41C","motor","31B","fine","42F","just","2","motor","32B","control","2","motor","32C","fine","32C","wrinkles","21",0.180000000007567,TRUE
"181","Meanwhile, Greene was acting her heart out, doing the best she could with the character of a burned-out, child-like brown-acid-victim, who hysterically confesses to crimes she hasn’t committed in order to pad out the plot… but her refusal to burst into song, or call upon the “Pie Hole” gang to help solve the case definitely counts against her here. It was kinda cool to see her dressed as a hippie-ish “rock chick” though… more of that, please! Martin just seemed to be irritated by everyone and everything she encountered… presumably because she knows she’s the heroine of a murder mystery story, who can’t actually solve murder mysteries. That must be quite frustrating for her. Siemaszko was mostly there to react to exposition, but she managed to keep things fairly lively, so a tip of the hat to her for that… and I enjoyed Tina Lifford’s turn as ‘Bonnie’, the kindly owner of the B&B where the main characters take their regular coffee breaks. Other than that, everything was pretty yawn-worthy…","meanwhile greene was acting her heart out doing the best she could with the character of a burnedout childlike brownacidvictim who hysterically confesses to crimes she hasn’t committed in order to pad out the plot� but her refusal to burst into song or call upon the “pie hole” gang to help solve the case definitely counts against her here it was kinda cool to see her dressed as a hippieish “rock chick” though� more of that please martin just seemed to be irritated by everyone and everything she encountered� presumably because she knows she’s the heroine of a mystery story who can’t actually solve mysteries that must be quite frustrating for her siemaszko was mostly there to react to exposition but she managed to keep things fairly lively so a tip of the hat to her for that� and i enjoyed tina lifford’s turn as ‘bonnie’ the kindly owner of the bb where the main characters take their regular coffee breaks",162,"other","other","3","coffee","32C","arrive","2","than","2","everything","2","make","21","a","21","other","21","star","21","breaks","21",0.0999999999912689,TRUE
"182","there are a great many people in this world. we drive exactly one of them and even then i'm not sure how affixed the steering wheel is. what kind of car do you drive?","there are a great many people in this world we drive exactly one of them and even then im not sure how affixed the",25,"steering","steering","3","the","41C","the","31B","affixed","42F","steering","21","the","32B","the","32C","men","31A","girls","31A","jars","31A",0.169999999998254,TRUE
"183","Although there is beautiful scenery, “Treasure Island” takes an unflinching look at the hardships of the seafaring life and features genuine tension. After the camp silliness of “Pirates of the Caribbean,” the authenticity is refreshing. As for all the stabbing and the like, well, as Long John Silver says, without violence or the threat of it, “other men take what’s yours and they live the life that should be yours.”","although there is beautiful scenery",6,"“treasure","scenery","31B","not","21","ring","21","cycle","21","fragrant","21","gowns","21","patterns","21","scenery","21","vibrant","21","one","32C",0.0800000000017462,FALSE
"184","Excellent hook! I can’t imagine anyone not wanting to read what comes after that. Let’s reel ‘em in with an excerpt … three sentences long! Yep, that’s it. Three!","excellent hook i can’t imagine anyone not wanting to read what comes",13,"after","after","3","comes","41C","comes","31B","what","42F","jesus","32B","comes","32B","military","32B","changes","32B","the","32B","making","2",0.190000000002328,TRUE
"185","I also have no idea what she's eating, how much she's exercising, what she's learning, how she's learning, whether she's tidying up after herself, whether she's minding her manners, how she's spending her money, what music she's listening to, how much TV she's watching, whether she's brushing her teeth and wearing her retainers, and so on and so on. I don't ask, she doesn't offer, I just don't know.","i also have no idea what shes eating how much shes exercising what shes learning how shes learning whether shes",21,"tidying","minding","3","tidying","3","how","32C","shes","21","learning","2","will","21","minding","21","tidying","21","to","2","what","2",0.119999999995343,TRUE
"186","Kamla unphased by the picong from calypsonians….maybe that is why she avoid Skinner Park this year?","kamla unphased by the picong",6,"from","from","4","from","3","from","31A","the","32C","day","31B","every","31B","hands","31B","odd","31B","of","31B","the","31B",0.110000000000582,TRUE
"187","Won’t force it because to break this beautiful cycle would be suicide.","won’t force it because to break this",8,"beautiful","beautiful","3","break","42F","the","31B","break","32C","this","31B","into","31B","beautiful","21","legs","21","since","21","the","21",0.139999999999418,TRUE
"188","I slammed on my brakes and surveyed the scene. I could hardly breathe and was momentarily overwhelmed with the sights and sounds of those few seconds. As a neighbor and Mr. Dorsey rushed to Michael’s aid I turned around and rode as fast as I could to his house, back up the hill on Rittenhouse and a right turn onto 48th Avenue. A block later as I turned left, onto our street, I passed Michael’s five-year old sister Sandy at the corner and shouted to her as I passed, “Michael’s been hit by a car!” Climbing the stairs to their front porch I pounded on the open screen door and shouted inside repeating to his parents what I had just told Sandy moments before. His dad rushed out the door and leaped from their porch yelling frantically “Where? Where?” I said “Down the hill on Rittenhouse Street!” I struggled on my bike to keep up with Michael’s father as he ran like a racehorse to his son’s side. Michael’s mother arrived soon behind as I watched from a short distance away.","i slammed on my brakes and surveyed the scene i could hardly breathe and was momentarily overwhelmed with the sights and sounds of those few seconds as a neighbor and mr dorsey rushed to michael’s aid i turned around and rode as fast as i could to his house back up the hill on rittenhouse and a right turn onto th avenue a block later as i turned left onto our street i passed michael’s fiveyear old sister sandy at the corner and shouted to her as i passed “michael’s been hit by a car” climbing the stairs to their front porch i pounded on the open screen door and shouted inside repeating to his parents what i had just told sandy moments before his dad rushed out the door and leaped from their porch yelling frantically “where where” i said “down the hill on rittenhouse street” i struggled on my bike to keep up with michael’s father as he ran like",163,"a","a","5","a","4","a","41A","a","41B","a","41C","racehorse","3","a","31A","ran","42F","a","31B","like","32B",0.220000000001164,TRUE
"189","There’s lots to talk about in the wonderful world of CurrantC™. Mother’s Day is right around the corner and we’re featuring a new gift basket, perfect for mom. It contains our now famous Dark Chocolate with Black Currants, our brand new delicious Black Currant coulis, a beautiful fragrant currant candle, CurrantC™ All Natural Black Currant Nectar and delicious and healthy genuine dried Black Currants. Click here to order.","there’s lots to talk about in the wonderful world of currantc� mother’s day is right around the corner and we’re featuring a new gift basket perfect for mom it contains our now famous dark chocolate with black currants our brand new delicious black currant coulis a",47,"beautiful","beautiful","3","a","31B","beautiful","21","coulis","32C","nectar","32C","minutes","2","nice","2","too","2","when","2","day","2",0.120000000009895,TRUE
"190","Bersih in bad light","bersih in bad",4,"light","light","4","shape","3","light","31A","light","31B","light","3","bad","31B","used","2","made","2","moved","2","far","2",0.069999999992433,TRUE
"191","As kings and queens bow and play for you","as kings and queens bow and play",8,"for","you","4","play","41C","you","3","for","31A","and","42F","for","31B","play","32B","for","4","for","3","play","32C",0.180000000007567,TRUE
"192","He is not wrapped in warm garment,","he is not",4,"wrapped","in","4","wrapped","4","know","31A","always","31A","wrapped","31A","wrapped","31B","so","31B","while","31B","a","3","place","3",0.069999999992433,TRUE
"193","“In matters of spirit, wisdom and experience, count far more than technique or strategy. Wisdom comes from within rather than without” (1995, p. 169). Turn inward, find a guide on your spiritual journey, and listen to the wisdom of those who journeyed before you.","“in matters of spirit wisdom and experience count far more than technique or",14,"strategy","or","31B","strategy","21","more","32A","person","32C","the","32C","most","32C","he","32C","one","32C","distance","32C","technique","32C",0.139999999999418,TRUE
"194","Cyrus takes Darius’ place as king of Persia and ruler over Babylon.","cyrus takes darius’ place as king of persia and",10,"ruler","ruler","4","ruler","3","and","41C","persia","42F","ruler","31B","ruler","21","and","32B","breach","32A","and","32C","and","31B",0.169999999998254,TRUE
"195","So after all this time, I'm still here at a day shy of 38 weeks. Baby has moved head down and into birth position (though is not well engaged in the pelvis yet), and is healthy as can be or so say the tests. The last growth scan indicated a 7+ pound infant and my new doctor cheerfully informed me that if I go to 40 weeks, we may have a 9-pounder on our hands. I did not find that amusing.","so after all this time im still here at a day shy of weeks baby has moved head down and into birth position though is not well engaged",29,"in","in","4","the","3","in","31A","well","42F","engaged","41C","recorded","41C","the","2","in","31B","in","3","pelvis","2",0.169999999998254,TRUE
"196","The Road To Domestos","the road to",4,"domestos","domestos","4","domestos","3","went","31B","tracks","31B","domestos","31B","to","31B","that","31B","light","21","went","21","anyway","21",0.0800000000017462,TRUE
"197","He could also see Tanner, his German Shepard, still asleep on his pillow over next the couch, probably because the damn dog was as drunk as he was from drinking beer last night. The dog had the strange habit of watching tourists and when one would leave the table he or she was sitting at, quickly run up, knock the bottle to the floor, and begin lapping of the spilled liquid. It was a trick Jack and other locals enjoyed since Tanner had the uncanny ability to target the most obnoxious person of whatever tourist group happened to be visiting at that time, usually a white, middle-aged American male.","he could also see tanner his german shepard still asleep on his pillow over next the couch probably because the dog was as as he was from drinking last night the dog had the strange habit of watching tourists and when one would leave the table he or she was sitting at quickly run up knock the bottle to the floor",62,"and","and","4","floor","41C","begin","3","and","31A","the","42F","floor","32B","and","3","floor","32C","begin","2","the","2",0.179999999993015,TRUE
