"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"176","As if these were not enough of a reason for both to remember the fixture, Alan Ball broke his leg by, in his own words, sitting on it. That injury kept the England midfielder out of his country’s end of season tour; the FA had to do something given England’s failure to qualify for the World Cup finals in West Germany that summer.","as if these were not enough of a reason for both to remember the fixture alan ball broke his leg by in his own words sitting on it that injury kept the england",34,"midfielder","midfielder","2","the","42F","rules","31B","the","32C",0.200000000004366,TRUE
"177","The cellphone number was not answered on Sunday, however.","the cellphone",3,"number","number","3","was","2","number","2","wind","2",0.0499999999956344,TRUE
"178","Excellent hook! I can’t imagine anyone not wanting to read what comes after that. Let’s reel ‘em in with an excerpt … three sentences long! Yep, that’s it. Three!","excellent hook i can’t imagine anyone not wanting to read what comes after that let’s reel ‘em in with an excerpt � three",24,"sentences","days","2","of","2","the","2","at","2",0.169999999998254,FALSE
"179","I also have no idea what she's eating, how much she's exercising, what she's learning, how she's learning, whether she's tidying up after herself, whether she's minding her manners, how she's spending her money, what music she's listening to, how much TV she's watching, whether she's brushing her teeth and wearing her retainers, and so on and so on. I don't ask, she doesn't offer, I just don't know.","i also have no idea what shes eating how much shes exercising what shes learning how shes learning whether shes tidying up after herself whether shes minding her manners how shes spending her money what music shes listening to how much tv shes watching whether shes brushing her teeth and wearing her retainers and so",56,"on","on","4","i","41A","so","41C","on","31A",0.310000000004948,TRUE
"180","Won’t force it because to break this beautiful cycle would be suicide.","won’t force it because to break this beautiful",9,"cycle","cycle","3","beautiful","31B","the","32C","to","32C",0.220000000001164,TRUE
"181","I slammed on my brakes and surveyed the scene. I could hardly breathe and was momentarily overwhelmed with the sights and sounds of those few seconds. As a neighbor and Mr. Dorsey rushed to Michael’s aid I turned around and rode as fast as I could to his house, back up the hill on Rittenhouse and a right turn onto 48th Avenue. A block later as I turned left, onto our street, I passed Michael’s five-year old sister Sandy at the corner and shouted to her as I passed, “Michael’s been hit by a car!” Climbing the stairs to their front porch I pounded on the open screen door and shouted inside repeating to his parents what I had just told Sandy moments before. His dad rushed out the door and leaped from their porch yelling frantically “Where? Where?” I said “Down the hill on Rittenhouse Street!” I struggled on my bike to keep up with Michael’s father as he ran like a racehorse to his son’s side. Michael’s mother arrived soon behind as I watched from a short distance away.","i slammed on my brakes and surveyed the scene i could hardly breathe and was momentarily overwhelmed with the sights and sounds of those few seconds as a neighbor and mr dorsey rushed to michael’s aid i turned around and rode as fast as i could to his house back up the hill on rittenhouse and a right turn onto th avenue a block later as i turned left onto our street i passed michael’s fiveyear old sister sandy at the corner and shouted to her as i passed “michael’s been hit by a car” climbing the stairs to their front porch i pounded on the open screen door and shouted inside repeating to his parents what i had just told sandy moments before his dad rushed out the door and leaped from their porch yelling frantically “where where” i said “down the hill on rittenhouse street” i struggled on my bike to keep up with michael’s father as he ran like a racehorse to his son’s side michael’s mother arrived soon behind",174,"as","i","3","behind","31B","soon","32C","as","3",0.219999999993888,TRUE
"182","There’s lots to talk about in the wonderful world of CurrantC™. Mother’s Day is right around the corner and we’re featuring a new gift basket, perfect for mom. It contains our now famous Dark Chocolate with Black Currants, our brand new delicious Black Currant coulis, a beautiful fragrant currant candle, CurrantC™ All Natural Black Currant Nectar and delicious and healthy genuine dried Black Currants. Click here to order.","there’s lots to talk about in the wonderful world of currantc� mother’s day is right around the corner and we’re featuring a new gift basket perfect for mom it contains our now famous dark chocolate with black currants our brand new delicious black currant coulis a beautiful",48,"fragrant","fragrant","3","beautiful","31B","a","32C","it","2",0.200000000004366,TRUE
"183","if there was some malice afoot; after all, these had generally been allies of the British, culturally and historically, and their exclusion and segregation may have been intended to create an artificial rift in this historical symbiosis on the part of an unashamedly anti-British regime.","if there was",4,"some","a","4","some","31B","some","4","to","31A",0.0800000000017462,TRUE
"184","The richness of the soup does creep up on you, and despite my confidence I could eat the entire bowl easily, I find I'm the victim of an embarrassing defeat. And I very rarely don't finish my meal.","the richness of the soup does creep up on you and despite my confidence i",16,"could","could","3","i","31B","could","21","have","31A",0.219999999993888,TRUE
"185","As kings and queens bow and play for you","as kings and",4,"queens","queens","4","bow","3","queens","31B","queens","3",0.110000000000582,TRUE
"186","water gently then sprinkle a top layer of the seed cover","water gently then sprinkle",5,"a","top","3","sprinkle","31B","top","2","manages","2",0.120000000002619,FALSE
"187","“In matters of spirit, wisdom and experience, count far more than technique or strategy. Wisdom comes from within rather than without” (1995, p. 169). Turn inward, find a guide on your spiritual journey, and listen to the wisdom of those who journeyed before you.","“in matters of spirit wisdom and experience count far more than technique or strategy wisdom comes from within rather than without” p turn inward find",26,"a","a","5","a","4","a","41A","a","41B",0.319999999999709,TRUE
"188","she was laying with her head in her paws.","she was laying with her head in her",9,"paws","paws","5","paws","4","her","51D","paws","41A",0.319999999999709,TRUE
"189","The first time I saw the end of Michelangelo Antonioni’s L’Eclisse I felt I had been caught off guard, disoriented. The film ends with a string of desolate shots without any narrative progression, shown one after another. For most of the film we had been following the drama of the central characters. Suddenly, for the last seven minutes, the characters we have come to know have disappeared — and yet the film continues. We see deserted streets, shadows, anonymous strangers. Without the characters to ground us in story, the presence of the camera itself seems stronger. We become aware of it as an apparatus, a seeing-device that acts as its own separate entity. There is camera movement (panning, following a figure walking on a street) which suggests that something is about to be revealed; it seems Antonioni is trying to tell us something. There are some wide, long takes from above that slowly pan around as if surveying the streets. Trees rustle in the wind. A man in a suit rounds a corner. A toddler looks up at his mother. A close up of a man’s earlobe. A stream of water flows into the gutter. “Yes, what is it Antonioni?” I remember thinking, “What are you trying to show us?” I was searching for meaning, for story. A streetlamp burns brightly. The music crescendos. The film is over. There is an elegance to this sequence that I cannot quite explain.","the first time i saw the end of michelangelo antonioni’s l’eclisse i felt i had been caught off guard disoriented the film ends with a string of desolate shots without any narrative progression shown one after another for most of the film we had been following the drama of the central characters suddenly for the last seven minutes the characters we have come to know have disappeared — and yet the film continues we see deserted streets shadows anonymous strangers without the characters to ground us in story the presence of the camera itself seems stronger we become aware of it as an apparatus a seeingdevice that acts as its own separate entity there is camera movement panning following a figure walking on a street which suggests that something is about to be revealed it seems antonioni is trying to tell us something there are some wide long takes from above that slowly pan around as if surveying the streets trees rustle",163,"in","the","3","rustle","31B","the","2","in","3",0.220000000001164,TRUE
"190","My heart may throb and ache,","my heart may throb",5,"and","and","4","throb","41C","ache","3","ache","2",0.190000000002328,TRUE
"191","I don't have a car most days,(which I'm used to) i'll usually just get my jogging stroller out and run wherever i want to go. Unfortunately we didn't get to bring the jogging stroller just the umbrella stroller, but that doesn't stop me an little Hailey from getting out and walking everywhere!","i dont have a car most dayswhich im used to ill usually just get my jogging stroller out and run wherever i want to go unfortunately we didnt get to bring the jogging stroller just the umbrella stroller but",40,"that","that","3","the","21","that","21","and","21",0.219999999993888,TRUE
"192","06-Eyesight To The Blind","eyesight to",3,"the","the","3","the","21","blind","21","able","2",0.0500000000029104,TRUE
"193","The Road To Domestos","the",2,"road","catholic","2","upstairs","2","tooth","2","store","2",0.0100000000020373,FALSE
"194","They've never really done one before and I have to say, this one was quite a doozy! Our backyard is right at the tee box of a golf course, so they sat in our yard and caught all the golfers passing. At 25 cents a cup (and they sold some cookies for 50 cents each) $15 total is not a bad profit! They were stoked. And wanted to do it again the next day. I told them they couldn't or the city might shut them down for making too much money. :)","theyve never really done one before and i have to say this one was quite a doozy our backyard is right at the tee box of a golf course so they sat in our yard and caught all the golfers passing at cents a cup and they sold some cookies for cents each total is not a bad profit they were stoked and wanted to do it",68,"again","fair","51C","it","51D","it","41C","because","42A",0.360000000000582,FALSE
"195","What was your favorite part about it (buildings, shopping, etc.)","what was your favorite",5,"part","things","3","part","3","baby","31B","favorite","31B",0.139999999999418,TRUE
"196","equal to the","equal to",3,"the","the","3","the","21","able","2","sure","2",0.0499999999956344,TRUE
"197","We laugh about it now, but it wasn't funny then.","we laugh about it now but",7,"it","it","5","wasnt","4","it","41A","it","41B",0.290000000000873,TRUE
"198","And this is what I did yesterday afternoon. I got a TV app for the laptop so I can watch football (soccer) outside now!","and this is what i did yesterday afternoon i got a tv app for the",16,"laptop","laptop","4","the","51D","the","41C","the","52D",0.360000000000582,TRUE
"199","All in all, by the time we packed up and left after a really busy but fun day, we had very little left – except a collapsed sandcastle and a bucket and spade!","all in all by the time we packed up and left after a really busy but fun day we had very",22,"little","little","4","very","51D","very","41C","had","52J",0.379999999997381,TRUE
"200","I got a bit carried away and assumed that a couple of good performances in the Carling Cup augured a fine career. I mean, if that was how well they could play on their debuts then they could only improve from there, right?","i got a bit carried away and assumed that a couple of good performances in the carling cup augured a fine career i mean if that was how well they could play on their debuts then they could only improve",41,"from","from","3","only","42F","of","31B","there","2",0.280000000006112,TRUE
"201","With a career total of more than 100 films, Bette changed the way Hollywood looked at actresses. In 1977, she was the first woman to be honored with the American Film Institute's Lifetime Achievement Award. She was also the first woman to be president of the Motion Picture Academy of Arts and Sciences. At the age of 75, Bette had a mastectomy due to breast cancer. Nine days later, she suffered a stroke. Despite her failing health, she continued to act until her death. Bette passed away October 6, 1989 in Neuilly-sur-Seine, France.","with a career total of more than films bette changed the way hollywood looked at actresses in she was the first woman to be honored with the american film institutes lifetime achievement award she was also the first woman to be president of the motion picture academy of arts and sciences at the age of bette had a mastectomy due to breast cancer nine days later she suffered a stroke despite her failing health she continued to act",79,"until","act","41C","act","31B","her","3","before","3",0.279999999998836,FALSE
"202","I have been so busy.","i have been",4,"so","to","4","busy","4","dla","4","so","4",0.129999999997381,TRUE
"203","Well we don't have to water our yard too much! It's just a little sprinkle that manages to get over the fence though. Oh well (acually it just waters the weeds we have growing by our fence!)(no thank you!)","well we dont have to water our yard too much its just a little sprinkle that manages to get over the fence though oh well acually it just waters the weeds we have growing by our fenceno",38,"thank","thank","4","thank","3","thank","31A","our","42F",0.279999999998836,TRUE
"204","60,000 - The number of people in Zimbabwe now infected by cholera, according to the World Health Organization (WHO). Cholera has now claimed the lives of more than 3,000 people in Zimbabwe. The epidemic of the disease, has been fueled by the collapse of Zimbabwe’s water, sanitation and health systems. Many hospitals have shut down and most towns suffer from poor water supply, broken sewers and uncollected waste. With the upcoming rainy season even more infections could occur as water sources become contaminated.","the number of people in zimbabwe now infected by cholera according to the world health organization who cholera has now claimed the lives of more than people in zimbabwe the epidemic of the disease has been fueled by the collapse of zimbabwe’s water sanitation",45,"and","and","3","health","2","the","32B","is","32B",0.200000000004366,TRUE
"205","Given by Papa God, November 17,2011","given by",3,"papa","god","3","papa","3","the","21","a","21",0.0899999999965075,TRUE
"206","Im lame but I dont read often!! hah if I could chose one book it would be twilight, the last book, because it is really the only book I can remember reading in the past few years.","im lame but i dont read often hah",9,"if","i","4","hah","41C","i","3","if","31A",0.319999999999709,TRUE
"207","June 21, 2011 — A defence-called forensic botanist challenges the prosecution’s theory of when the body was placed at the crime scene. An expert in analytical chemistry who works with Dr. Vass challenges the process of testing for the presence of chloroform.","june — a defencecalled forensic botanist",7,"challenges","challenges","2","botanist","21",NA,NA,NA,NA,0.169999999998254,TRUE
"208","Let's go where they keep on wearin'","lets go where they keep on",7,"wearin","wearin","4","wearin","3","on","41C","keep","42F",0.280000000006112,TRUE
"209","In short, thank you everyone. You guys rule.","in short",3,"thank","you","3","supply","3","thank","3","distance","2",0.0499999999956344,TRUE
"210","Start Proclaiming Life and Power!","start",2,"proclaiming","the","2","be","2","i","2","all","2",0.0400000000008731,FALSE
"211","And finally... There's this brand new thing around! You most probably have never heard of this since it's only 2 days old and was completely unheard of before since it didn't exist until 2 days ago... It's called the ""Instagram""... Yep! Just came out a few days ago and it's pretty cool! And well if you're down with brand new tech-shit that didn't exist before 2 days ago and have A) an awesome deal on your phone data plan, B) a battery that lasts forever and C) nothing better to do... Go check it out it's pretty cool and I'm on it... Until I get sick of it in the not so distant future!!","and finally theres this brand new thing around you most probably have never heard of this since its only days old and was completely unheard of before since it didnt exist until days ago its called the instagram yep just came out a few days ago",47,"and","and","5","ago","51D","its","4","and","41A",0.410000000003492,TRUE
"212","Director: Mark Goldblatt","director mark",3,"goldblatt","goldblatt","2","mark","21",NA,NA,NA,NA,0.0299999999988358,TRUE
"213","However, they have a new EP coming out in a month and a bit with a song on it called The Wrong Car. I think they may have finally made a song I'm going to love more than Cold Days From The Birdhouse. I've had it on repeat since I first heard it last week - it's that good.","however they have",4,"a","a","4","a","31A","a","31B","have","31B",0.120000000002619,TRUE
"214","Produce C-G to H such that C-G =G-H Produce B-C to D such that C-D =2”","produce cg to h such that cg gh produce bc to d such",14,"that","such","51D","cd","4","that","41A","that","41B",0.389999999999418,TRUE
"215","The home should be a place of joy and laughter. Your home should be fun! Fun for your kids, fun for friends to come over, fun between you and your spouse. People want to ""hang out"" in places they enjoy with people they enjoy. Make your home that place.","the home should be a place of joy and laughter your home",13,"should","home","31B","your","32C","be","3","place","3",0.30000000000291,FALSE
"216","I'll tell you about this in a later blog, it gets worse. For now all I'll say is be prepared to rough it as a runner.","ill tell you about this in a later blog it gets worse for now all ill say is be prepared to",22,"rough","rough","4","to","41C","it","3","prepared","42F",0.299999999995634,TRUE
"217","You think you've seen all the yanks have to offer the world? Gangsta rap, almost naked skanks with lack luster singing voices, chemical soup that is passes of as food? How about unsustainable debt or ""corruption free"" finance built on mortgage backed derivatives backed by liar loans? Endless war in the name of democracy and in the cause of Islamic Jihad?","you think youve seen all the yanks have to offer the world gangsta rap almost naked",17,"skanks","skanks","3","naked","31B","with","2","almost","32C",0.230000000003201,TRUE
"218","Such is the confidence of Dojo Cuts with this material that they cover the recently departed Etta James’ 1968 soul anthem ‘I’d Rather Go Blind’ – and carry it off perfectly, with Ray delivering all the soul-preaching and testifying it needs. No mean feat.","such is the confidence of",6,"dojo","dojo","3","it","41B","of","41C","of","31B",0.25,TRUE
"219","I used Papertrey ink cardstock (stamper's select white, classic kraft), stamps (Framed Out ) and dies (Framed Out , alphabet block.) I also used SU! cardstock (island indigo) & My Mind's Eye patterned paper and decorative brads.","i used papertrey ink cardstock stampers select white classic kraft stamps framed out and dies framed out alphabet block i also used su cardstock island indigo my minds eye patterned",31,"paper","paper","3","patterned","31B","eye","42F","and","2",0.220000000001164,TRUE
"220","powerful and wise leader. more important than anything, true wisdom is attained by learning from","powerful and wise leader more important than",8,"anything","in","31B","than","31B","the","31A","to","31A",0.19999999999709,FALSE
"221","Hey guys...","hey",2,"guys","up","2","guys","2","said","2","pull","2",0.0199999999967986,TRUE
"222","old winter right along...","old winter",3,"right","right","3","the","2","so","2","will","2",0.0600000000049477,TRUE
"223","‘I want a girl who got a badonkadonk.’","‘i want",3,"a","know","2","be","2","i","2","have","2",0.0299999999988358,FALSE
"224","Parents were invited again, and I put in a brief appearance with Possum. We didn't stay long because Mousie seemed to think she had to sit with us, but we could see she wanted to join in with the dancing that was going on over at the other side of the room. I knew we made the right decision when we looked back through the window and saw her happily doing the conga with her friends.","parents were invited again and i put in a brief appearance with possum we didnt stay long because mousie seemed to think she",24,"had","to","4","she","41C","she","32B","to","3",0.269999999996799,FALSE
"225","Today in German-speaking Europe many families set up an Advent wreath, or Adventskranz on the first Advent Sunday (the fourth before Christmas) to start off the Advent season. The picture on the left shows a typical evergreen Advent wreath with its four candles, one for each week of Advent. Traditional families gather around the wreath on each Advent Sunday to light the next candle and sing Christmas carols. This was even more important in the past, when the Christmas tree was usually reserved for a special unveiling only on Christmas Eve. Until then, the Advent wreath provided the evergreen look and aroma in the house.","today in germanspeaking europe many families set up an advent wreath or adventskranz on the first advent sunday the fourth before christmas to start off the advent season the picture on the left shows a typical evergreen advent wreath with its four candles one for each week of advent traditional families gather around the wreath on each advent sunday to light the next candle and sing christmas carols this was even more important in the past when the christmas tree was usually reserved for a special unveiling only on christmas eve until then the",95,"advent","the","41C","the","32B","end","3","cant","3",0.25,FALSE
"226","what team anna is facing is not a personal vendetta , this is how every common man who fights corruption is treated by corrupt officials and politicians in India.","what team anna is facing is not a personal vendetta this is how every common man",17,"who","who","4","who","3","man","41C","who","31A",0.260000000002037,TRUE
"227","13) Visits per Keyword - This metrics tells you how much traffic a keyword drives to your website from organic search. This will be a symptom of how often people search for that keyword and how well you rank for the keyword.","visits per keyword this metrics tells you how",9,"much","much","4","traffic","3","much","31A","much","31B",0.220000000001164,TRUE
"228","But I had no interest in reading myself for several years.","but i had no interest in reading myself for several",11,"years","years","3","once","31B","several","31B","for","32C",0.549999999995634,TRUE
"229","Butter- 100 gms","butter",2,"gms","the","2","dish","2","gms","2",NA,NA,0.0300000000061118,TRUE
"230","""time alone","time",2,"alone","im","2","away","2","the","2","to","2",0.0299999999988358,FALSE
"231","I know I haven't been around much. Preoccupied. You see, in just two weeks from today I'll be driving back to the place I spent four of the best years of my life. Oddly enough, I haven't been back since.","i know i havent been around much preoccupied you see in just two weeks from today ill be driving back to the place i",25,"spent","spent","5","spent","4","i","51D","spent","41A",0.389999999999418,TRUE
"232","Of course, these were two separate photos--from two different homes. I didn't think I'd ever find a blacktop driveway that led to a brick house--a house with dormers and lots of trees.","of course these were two separate photosfrom two different homes i didnt think id ever find",17,"a","a","5","a","4","a","41A","a","41B",0.290000000000873,TRUE
"233","‘$1,091,000: Political contributions sent to federal politicians for the 2012 election cycle, making it the largest oil and gas spender’.","‘ political contributions sent to federal politicians for the",10,"election","the","31B","week","42A","past","42A","of","3",0.180000000000291,FALSE
"234","Recent FOIA releases of Barack Obama Sr.’s immigration records disclose that he was not co-habituating with Stanley Ann Dunham after the marriage and birth of Obama. In fact, the U.S. Immigration Department had been investigating if the Obama-Dunham marriage was “bona fide.”[30]","recent foia releases of barack obama sr’s immigration records disclose that he was not cohabituating with stanley ann dunham after the marriage and birth of obama in fact the us immigration department had been investigating if the",38,"obamadunham","the","31B","is","3","has","3","add","3",0.200000000004366,FALSE
"235","Joshua has a written test scheduled for this Wednesday, that is required for most of the jobs he is looking at. We would absolutely love some prayers, for peace during the test, and for Joshua's brain to be a sponge, during this studying process.","joshua has a written test scheduled for this wednesday that is required for most",15,"of","of","4","most","41C","of","31A","unlike","42D",0.309999999997672,TRUE
"236","Join us on facebook, and we have a website now as well that is more or less (more less at the moment) up and running","join us on facebook and we have a website now as well that is more",16,"or","or","5","more","51D","less","4","or","41A",0.419999999998254,TRUE
"237","Recommended for fans of mismatched romantic leads and shows that bridge the gap between The X-files and Moonlighting.","recommended for fans of mismatched romantic leads",8,"and","and","3","shows","2","and","21","fiction","21",0.209999999999127,TRUE
"238","But any book or series that gets them to read is top notch on my eyes so when we heard there was a movie coming out I pledged to take them on opening night.","but",2,"any","was","2","of","2","so","2","love","2",0,FALSE
"239","Like communism or socialism, capitalism is a word with objective, specific meaning. The French word “laissez-faire” literally means “let us alone.” According to Ayn Rand, the greatest contemporary philosopher who offered the best defense of this most moral economic system, capitalism simply means “a full, pure, uncontrolled, unregulated laissez-faire capitalism—with a separation of state and economics, in the same way and for the same reasons as the separation of state and church.” Sison is right in saying that capitalism is about greed and self-interest. This is because the moral justification of capitalism does not lie in the altruist claim that it represents the best way to achieve the common good. Under a true capitalist system, the achievement of common good is merely a secondary consequence.","like communism or socialism capitalism is a word with objective specific meaning the french word “laissezfaire” literally means “let us alone” according to ayn rand the greatest contemporary philosopher who offered the best defense of this most moral economic system capitalism simply means",44,"“a","been","2","who","2","it","2","back","2",0.139999999999418,FALSE
"240","We used to say that we would struggle, fight, and wage Jihad, until we regain our rights, because what was taken by force will only be restored by force, and what was taken by the sword will not be restored by the pen or the word. Unfortunately, however, we have abandoned this, and we have taken the path of the so-called “peaceful solution.” We have made one concession after another.","we used to say that we would struggle fight and wage jihad until we regain our rights because what was taken by force will only be restored by force and what was taken by the sword will not be",40,"restored","restored","4","be","41C","not","42F","be","32B",0.310000000004948,TRUE
"241","What made me so sorrowful? It was pointed out to me that my heart is not perfect and the truth of it makes me mourn. It’s what I want MORE THAN ANYTHING and it cuts cruel and deep, “Father, please cover my imperfect heart with your breastplate of righteousness”. Can I bear the Kings armor till he purifies my heart?","what made me so sorrowful it was pointed out to me",12,"that","my","4","me","41C","to","42F","that","31A",0.299999999995634,TRUE
"242","On the way home from our favourite farm on Tuesday we stopped off for a wander around a small town. In a shop window were a row of Queenie's, all slowly waving with glazed expressions. Being suckers for plastic stuff that does nothing more than make us laugh meant we needed one so we rushed in to bag our own Queenie. Now she sits on our windowsill watching and waving while we do kitchen stuff. Our favourite plastic friend was a chubby grinning chinese boy who sat astride a pink dolphin and spun from the ceiling playing plinky music. He fell to pieces a long while back now and I still miss him.","on the way home from our favourite farm on tuesday we stopped off for a wander around a small town in a shop window were a row of queenies all slowly waving with glazed expressions being suckers for plastic stuff that does nothing more than make us laugh meant we needed one so we rushed in to bag our own queenie now she sits on our windowsill watching and waving while we do kitchen stuff our favourite plastic friend was a chubby grinning chinese boy",86,"who","sat","3","boy","31B","out","2","who","3",0.200000000004366,TRUE
"243","We recently had a chance to sit down with Sigur Rós’ latest long player ‘Valtari’","we recently had a chance to sit down with sigur r�s’ latest",13,"long","being","2","player","2","long","2","fads","2",0.189999999995052,TRUE
"244","If you suspect elder abuse, neglect, or exploitation, You can call:","if you suspect",4,"elder","elder","4","elder","3","elder","31A","abuse","2",0.150000000001455,TRUE
"245","Homosexuals have chosen the word “gay,” a word that means “happy” or “a lively, merry mood” or “bright, showy,” to describe their lifestyle. In homosexuality’s portrayal in the media and in its publicity by its advocates, that’s what it can appear to be. A fun-loving, free lifestyle. Yet this is only a mirage. Over the years, in every interaction I have had with a person calling their lifestyle “gay,” that same angry fire that my bookstore acquaintance had could be seen in their eyes . Whether it’s been a one-time opportunity to interact with someone who has identified himself as gay or the longer-term weekly counseling of a man who claimed hundreds of partners (and looked as if it were true), a below-the-surface, seething anger has always been present.","homosexuals have chosen the word “gay” a word that means “happy” or “a lively merry mood” or “bright showy” to describe their lifestyle in homosexuality’s portrayal in the media and in its publicity by its advocates that’s what it can appear to be a",45,"funloving","a","51D","be","52J","a","42C","a","42E",0.379999999997381,FALSE
"246","I am also planning to dig into the common core, because Alabama is supposed to adopt this next school year, and I definitely want to be ready. I really like how the skills are laid out, and I think it is great! I also want to learn more about The Daily Five, which I keep hearing about ALL over the web, but it is not something that we use. I would definitely like to know more about it.","i am also planning to dig into the common core because alabama is supposed to adopt this next school year and i definitely want to be ready i really like how the skills are",35,"laid","laid","4","are","41C","out","3","skills","42F",0.220000000001164,TRUE
"247","So...the next time you look at those wonderful fall leaves or pick up a bright red maple leaf or wonder at the beauty of a yellow hickory leaf - remember how those wonderful colors were produced - and realize how magical a plant really is to the planet. Not because of the colors of the leaves or how it looks in our landscape, but how it keeps us alive by producing all of that sugar and oxygen that keeps us eating and breathing every day.","sothe next time you look at those wonderful fall leaves or pick up a bright red maple leaf or wonder at the beauty of a yellow hickory leaf remember how those wonderful colors were produced and",37,"realize","realize","3","then","31A","and","31B","produced","32C",0.230000000003201,TRUE
"248","The less you can explain the questions of your purpose and existence the more you come up with a ridiculous analysis for life and your left with no reason for existing or for life at all. The cycle continues. The more hateful against anything good and morally right you get. The more you hate those stupid Christians that claim God exists and that say there is a reason and purpose for your life .","the less you can explain the questions of your purpose and existence the more you come up with a ridiculous analysis for life and your left with no reason for existing or for life at all the cycle continues",40,"the","the","3","cycle","42F","of","31B","continues","31B",0.220000000001164,TRUE
"249","They’ve both been hurt too much already, and there isn’t much to say.","they’ve both been hurt too much already and there isn’t much",12,"to","talk","31A","fun","32A","a","32C","have","32C",0.169999999998254,FALSE
"250","Article 8 does not always work though. A paedophile illegal immigrant, Zulfar Hussain, has finally been thrown out of Britain after a long court battle in which he claimed that his deportation would breach his human rights. This is good news, but Hussain represents only a drop in the multicultural ocean and cost the taxpayer over £100,000 in his welfare funded legal battle to remain in Blackburn, Lancashire.","article does not always work though a paedophile illegal immigrant zulfar hussain has finally been thrown out of",19,"britain","of","41C","of","31B","the","32A","of","32B",0.25,FALSE
"251","So our unique perceptions of the world we experienced together were destined to be endlessly different, destined to be unrelated. And no matter what I said to her, she would never understand that what I write on these pages, when I say that I have no home and that I am endlessly tormented by the constant need to leave everything behind and travel, to give up the entire world I’ve created and move on to something new, that this isn’t in any way a sad thing in my eyes.","so our unique perceptions of",6,"the","the","3","the","21","world","21","roman","2",0.110000000000582,TRUE
"252","When will the school district force Frank’s hand?","when will the",4,"school","school","4","go","31B","school","31B","day","3",0.110000000000582,TRUE
"253","He did have a little bump and a good little cut - right at the back and top part of his head.","he",2,"did","of","2","the","2","to","2","at","2",0.0299999999988358,FALSE
"254","Here comes another rant from me, THE CHILDLESS MOMMY BLOGGER, as I’ve taken to calling myself. You know, I think (much like Oprah – another childless mommy advisor) that the hardest thing you can do is raise a kid. And even harder is raising a kid right and saving the world from the addition of one more a**hole. This is of such monumental importance in my opinion, that it does, indeed, take a village. So, I’m here to help. As I was working up some research this morning, I came across some parenting ideas / actions/ products that I feel could lead your child astray. I am here to try and stop you…or rather stop the ridiculous human being who would subject their child to any of the below.","here comes another rant from me the childless mommy blogger as i’ve taken to calling myself you know i think much like oprah – another childless mommy advisor that the hardest thing you can do is raise a kid and even harder is raising a kid right and saving the world from the addition of one more ahole this is of",62,"such","such","4","of","41C","such","31A","is","42F",0.280000000006112,TRUE
"255","to the groaning figure who was always","to",2,"the","able","2","sure","2","seen","2","been","2",0.0199999999967986,FALSE
"256","End of November. End of Solo Tabletop Gaming Appreciation Month.","end of november end of solo",7,"tabletop","tabletop","4","tabletop","3","solo","41C","tabletop","31A",0.25,TRUE
"257","On the back are the words of Psalm 95:4: ‘Porque en su mano están las profundidades de la tierra, y las alturas de los montes son suyas’ (In his hand are the depths of the earth; the heights of the mountains are his also). The text at the bottom reads ‘To him is the honor and the glory’.","on the back are the words of psalm ‘porque en su mano est�n las profundidades",16,"de","de","3","las","52J","las","42F","la","2",0.230000000003201,TRUE
"258","“She loves it. She has a love/hate relationship with spaghetti. But like most of us, she gives in to her heart and indulges, in spite of the bunching and bloating.”","“she loves it she has a lovehate relationship with spaghetti but like most of us she gives in to her heart and indulges in spite of the bunching",29,"and","and","4","and","3","and","31A","towers","51D",0.269999999996799,TRUE
"259","We are taking it one day at a time.","we are taking it one day at",8,"a","at","51D","time","4","a","41A","a","41B",0.349999999998545,TRUE
"260","Nicole Kidman is pitch-perfect here. For those who don’t know, Nicole was a natural red-head as a child, then her hair naturally lightened to blonde as she got older. Nicole Kidman is a Spring, and she has everything in place here. Light hair (even if it’s dyed, it’s still light and warm), ivory gown with golden accents…homegirl is straight winning here.","nicole kidman is pitchperfect here for those who don’t know nicole was a natural redhead as a child then her hair naturally lightened to blonde as she got older nicole kidman is a spring and she has everything in place here light hair even if it’s dyed it’s still light and warm ivory gown with golden accents�homegirl is straight",60,"winning","winning","3","jacket","2","the","2","a","2",0.190000000002328,TRUE
"261","All I know is I never felt so sad, so often, as when I listened to music at fifteen.","all i know is i never felt so sad",10,"so","so","5","sad","51D","often","4","so","41A",0.360000000000582,TRUE
"262","Lancôme had offered the lower court an expert report of a physical-chemical analysis of the two perfumes. The report concluded that, given the fact that there are hundreds of different components that could have been used, it is highly unlikely that it is a coincidence that Kecofa used 24 of the exact components out of the 26 in total used by Lancôme. The 25th ingredient was a cheaper substitute of the remaining Trésor component. Since the expertise of the report was not denied by Kecofa, nor the accusation of copying, the Court concluded that Kecofa must have copied Lancôme’s product and therefore violated Lancôme’s copyrights.","lanc�me had offered the lower court an expert report of a physicalchemical analysis of the two perfumes the report concluded that given the fact that",26,"there","that","41C","fact","42F","am","4","the","32A",0.279999999998836,FALSE
"263","Detecive Comics ","detecive",2,"comics","comics","2",NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
